Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
National,49995000,9999,0.42975569375222483,0.04472232425146788,0.27106692073007216,0.014780137385187828
Balaka,18336,191,0.2611442170877454,0.041717782441967076,0.21920077994491263,0.010583358289042884
Blantyre,21321,206,0.25925454690682487,0.04036404958273354,0.2187063964814665,0.010195304290301063
Chikwawa,144453,537,0.30194133919893873,0.05819917546947388,0.23017281759138802,0.015774270829622173
Chiradzulu,3240,80,0.24027597873763135,0.032854356758691736,0.21395647994099612,0.008081909131714993
Chitipa,79800,399,0.3251874705543115,0.07231591947207551,0.2371763657679644,0.020403539259185064
Dedza,88410,420,0.2950542285387542,0.05730146011705142,0.2283010189827918,0.01539518597262146
Dowa,52003,322,0.2878696111872602,0.05667048691267692,0.22638453541954848,0.01510475442658209
Karonga,67528,367,0.3019493219155191,0.06425162068922259,0.23037475941328522,0.017492587638962755
Kasungu,376278,867,0.32380489493268516,0.059480813953060686,0.2362281120142242,0.016458241448650584
Lake Chilwa,2211,66,0.22971411446515394,0.022124160629922795,0.21132073533412354,0.005269253413829434
Lake Malombe,780,39,0.2120608234933075,0.011449753743502166,0.20716078219296039,0.0026335635698808858
Likoma,3,2,0.19854403148302752,1.0462878735247124e-4,0.20411717438915,2.2608341646190004e-5
Lilongwe,198135,629,0.3078996922930916,0.056049207327137314,0.2317082995536611,0.015167825620953267
Machinga,73536,383,0.2877518176904576,0.05093179871186393,0.22619035748522473,0.013401313203392015
Mangochi,248160,704,0.3279686877845716,0.06280696825210945,0.23755244721609756,0.017606425747009453
Mchinji,52326,323,0.28335128302594326,0.050238279906123354,0.22503101832315864,0.013197765040802818
Mulanje,21945,209,0.2587411679224093,0.038851727786171485,0.21855062757727894,0.009747046348514416
Mwanza,27730,235,0.2647140939914813,0.04355851052060909,0.22012755739732767,0.011107227658838755
Mzimba,569778,1067,0.3531328631969668,0.07027717719565746,0.2453919716974961,0.020657793297040282
Nkhata Bay,96580,439,0.30349410660632425,0.06160762729920868,0.23071639293937143,0.01685225757698651
Nkhotakota,95703,437,0.316810923680118,0.06818242067482602,0.2346385304461482,0.019073715628201596
Nsanje,27730,235,0.27877937926395524,0.054132167166894334,0.22394862849658742,0.014214525825903405
Ntcheu,49455,314,0.2908389543058044,0.0571123572498087,0.22717844583900978,0.01527418549830188
Ntchisi,18336,191,0.2550323077718153,0.03635958692934311,0.2175935813198835,0.009066707362227925
Phalombe,12720,159,0.24307521066646195,0.030201934967216595,0.21459246620915265,0.0073960444947167156
Rumphi,106953,462,0.29682528120449736,0.055824630309114054,0.2287305112565937,0.015023609169631292
Salima,27028,232,0.2686218957589612,0.045087725319778,0.22114119528476114,0.01155058056819248
Thyolo,16653,182,0.25149796425794246,0.035614212287175644,0.21671457416789452,0.008849037794641525
Zomba,37675,274,0.2697343011529718,0.043092029742113847,0.22138167775952886,0.011017640874567887
10101003,1,1,0.19940290429256544,NA,0.20430347701615956,NA
10101004,1,1,0.19933357741129473,NA,0.20428839484482617,NA
10101006,3,2,0.19874348867746164,5.283970891595713e-4,0.20416049271566766,1.1447127662481081e-4
10101007,1,1,0.20038019043902547,NA,0.2045167463050417,NA
10101010,1,1,0.19894479499549295,NA,0.20420394738168618,NA
10101011,3,2,0.19976048129397006,0.0014571725671093682,0.20438238918089796,3.168481182584554e-4
10101012,28,7,0.20044525352781103,0.0019207957557622532,0.20453288127674027,4.2161803700840287e-4
10101013,1,1,0.2025314138298285,NA,0.20498974095178107,NA
10101014,6,3,0.1988222988892913,4.7120530077565914e-4,0.2041775674977613,1.0203424756412506e-4
10101016,3,2,0.20070382185604524,0.0023085542759276666,0.20458969376880387,5.04380818893473e-4
10101018,1,1,0.20086635875983205,NA,0.20462324895503306,NA
10101020,1,1,0.19867513477605434,NA,0.20414552155218635,NA
10101021,1,1,0.19821898668705715,NA,0.20404703891419856,NA
10101022,1,1,0.19867963329924673,NA,0.20414649511764632,NA
10101023,3,2,0.2000858433855387,0.001166499187503354,0.2044529576727658,2.543442260138956e-4
10101024,1,1,0.19802379849622928,NA,0.20400509660355018,NA
10101026,3,2,0.19943866756065318,7.179912493194724e-4,0.20431149549648336,1.5635192813821466e-4
10101030,6,3,0.19969280067629774,0.0016137206378458312,0.20436806262026191,3.5177637497886533e-4
10101031,21,6,0.20117068199215551,0.002870570938592779,0.20469356526845678,6.348072227325787e-4
10101032,3,2,0.2017661356949663,0.002425192431924127,0.20482290824453425,5.322007724868792e-4
10101034,1,1,0.19800739518080704,NA,0.20400158269705637,NA
10101035,78,12,0.2026666654776678,0.0043785169927769065,0.20502685650035737,9.766716265914523e-4
10101036,3,2,0.19815393933174316,7.908452493277493e-5,0.20403305107594283,1.7003067287654313e-5
10101037,3,2,0.199982197371667,0.0013997825907535821,0.20443058698836217,3.051868842337924e-4
10101038,15,5,0.20090146639655104,0.002082634191253209,0.2046329017517833,4.5863833729127866e-4
10101901,3,2,0.19841659922942886,3.494013359498793e-4,0.2040897443098377,7.541725380479521e-5
10102001,3,2,0.1995273866444022,0.0012990504161665072,0.20433145334745936,2.820340853275251e-4
10102003,1,1,0.19910470270453112,NA,0.20423865261034876,NA
10102005,1,1,0.19891801301801365,NA,0.20419813892043656,NA
10102006,10,4,0.19965840128179177,0.001105319907676374,0.20435980198765474,2.4142478207788673e-4
10102008,3,2,0.2005479948931499,0.0010264012982191231,0.204553854156451,2.2482684175846316e-4
10102016,1,1,0.19864411248244282,NA,0.2041388088293613,NA
10102017,3,2,0.19999133048544773,8.858141055587428e-4,0.20443206380367668,1.9339336178684046e-4
10102018,3,2,0.2036657790340045,0.004508661822332217,0.20524656243187347,9.947019671508507e-4
10102021,1,1,0.19845706900506674,NA,0.20409837831812697,NA
10102022,6,3,0.20136558067165528,0.002039737697282662,0.2047345083695797,4.487742609349914e-4
10102023,6,3,0.20186402491948865,0.0031729422548904896,0.20484613413495667,7.019960333291538e-4
10102024,10,4,0.20492382305360277,0.0038004426286873884,0.20552485763905234,8.494629599652603e-4
10102901,6,3,0.19887284981051598,6.869767553136858e-4,0.20418870648362455,1.488802838559278e-4
10102902,3,2,0.19902043424642504,8.02054135215015e-4,0.20422069087224884,1.7431623314748067e-4
10103002,45,9,0.2050158661446611,0.006121235313473271,0.2055531664859371,0.001376670544369023
10103005,1,1,0.19845162736569694,NA,0.2040972032447246,NA
10103006,28,7,0.2016077179817216,0.0031167811941228735,0.20479030663844702,6.885784805525459e-4
10103007,3,2,0.20262406373765574,0.003161895931610958,0.20501308771850876,6.97685384569768e-4
10103008,6,3,0.2046821943561861,0.005418334646640544,0.205475854086319,0.0012043882094498605
10103009,15,5,0.20257623494187812,0.004316571503433875,0.20500671462256306,9.581832334336041e-4
10103010,15,5,0.1996944267987442,0.0013245601599517246,0.20436805368833635,2.888288570187611e-4
10103011,6,3,0.2009853932686456,0.002437526324458343,0.2046519018196753,5.352815003435077e-4
10103012,1,1,0.1983245043507577,NA,0.20406977311840266,NA
10103014,3,2,0.19890220333451475,5.6908811649048e-4,0.20419489785634556,1.2340418256139162e-4
10103901,6,3,0.21069124937764108,0.009238778268749739,0.20683590749526592,0.002094009445504369
10103902,91,13,0.20405456727034685,0.0058920021494459655,0.20533883775876188,0.0013240550787592298
10104001,3,2,0.2052588893905557,0.0046460100571596484,0.20560012119353066,0.0010349095473286506
10104002,10,4,0.20359988733457937,0.0044888353643529255,0.20523340714129923,9.955686919503103e-4
10104003,3,2,0.19874767339552352,2.900938857240252e-4,0.2041612763745678,6.285497108730248e-5
10104004,3,2,0.19900645274209477,6.496124676606001e-4,0.2042175725656549,1.4076005969242974e-4
10104008,1,1,0.1983739769985023,NA,0.20408044320444518,NA
10104009,66,11,0.20281955039096522,0.003566916370824945,0.20505850015384675,7.910999838617668e-4
10104011,3,2,0.20285792266310337,0.002511846694615728,0.2050636730689776,5.544413417499231e-4
10104012,10,4,0.19907599936228926,8.248352932943207e-4,0.20423290925172072,1.7917293779851157e-4
10104016,21,6,0.19930887371786493,9.401200713705378e-4,0.20428362118612048,2.0480580614825873e-4
10104017,10,4,0.19966090285916469,0.001200466744572068,0.2043604671993804,2.6234975408576274e-4
10104901,3,2,0.20055464133282191,0.001887761205636821,0.2045561576049497,0.00041431798269219773
10104905,3,2,0.1983747782062299,2.695838031371509e-4,0.20408067672734811,5.82009871003086e-5
10105002,1,1,0.19927726427185805,NA,0.2042761488911156,NA
10105003,15,5,0.20092804008663603,0.002608098185887834,0.2046399345666231,5.737893179194907e-4
10105004,10,4,0.20095788994221778,0.0017874454647164358,0.20464483146718151,3.9197793164227565e-4
10105007,1,1,0.19834110049046483,NA,0.2040733517804906,NA
10105009,10,4,0.20030274144524599,0.0017988196498607504,0.20450144270035384,3.93961539393442e-4
10105010,1,1,0.19840883342307788,NA,0.2040879647575116,NA
10105011,10,4,0.1997608312347369,0.001386879565759163,0.20438260479792789,3.0226239837186406e-4
10105012,6,3,0.20129378476929993,0.0029272443889659513,0.20472033058382003,6.461518401192771e-4
10105013,1,1,0.19983760799102077,NA,0.20439819532659412,NA
10105901,28,7,0.20188105209565113,0.003029855091899766,0.20485014234207308,6.70007042326502e-4
10106902,2346,68,0.2305616300742028,0.024411023005001826,0.21154347150447736,0.0058461988298867265
10201012,1,1,0.1991971824763095,NA,0.20425874216234652,NA
10201013,6,3,0.201145588202684,0.0019958953871780185,0.20468613534418023,4.3889884895809155e-4
10201021,1,1,0.199532642394681,NA,0.20433171969669275,NA
10201026,28,7,0.2017344642845606,0.0028581022089944285,0.2048173704119472,6.331112411819007e-4
10201031,3,2,0.1984770386463653,1.8425172232883812e-4,0.20410271778546143,3.9790075995694706e-5
10202001,6,3,0.19984805975862205,0.0013016619403351762,0.20440145833557435,2.8321845869503113e-4
10202003,1,1,0.19857944408161385,NA,0.2041248218939565,NA
10202005,1,1,0.1983723120144923,NA,0.20408008400088068,NA
10202011,1,1,0.19823018610024853,NA,0.20404945022924267,NA
10202016,3,2,0.19832433810693972,2.648781121069012e-4,0.2040698088956941,5.7065010230048975e-5
10203001,136,16,0.20862785338009562,0.008987329499240106,0.20637322990576354,0.0020417560307272133
10203002,171,18,0.2079723246584524,0.009881705320864954,0.20623057721131202,0.0022541961696378545
10203003,105,14,0.20419207017081972,0.005599764169071898,0.20536838210287148,0.0012573019554438505
10203004,36,8,0.20190749276498646,0.0030588462614380874,0.20485597481675422,6.776419635087458e-4
10203005,3,2,0.19907275668606497,8.183567429946144e-4,0.20423211457104984,1.772804255295495e-4
10203006,1,1,0.206561091331219,NA,0.20588585776877322,NA
10203007,1,1,0.19824447928526132,NA,0.2040525282517381,NA
10203008,1,1,0.1981560272091277,NA,0.20403349145579414,NA
10203019,21,6,0.2012253738353073,0.002573764058598871,0.20470513583004096,5.662354407429875e-4
10203020,36,8,0.2037373408728416,0.004563156032972253,0.2052644422499789,0.0010147358673029687
10203021,66,11,0.20245559335328975,0.004124733953229826,0.20497955785798208,9.184440143175719e-4
